method,structure_number,year,inventory_rating,previous_max_rating,source_file
4,100000140001010,2014,32.7,32.4,NBI_2014_Delimited_AllStates.txt
4,000000002215110,1998,22.6,22.5,NBI_1998_Delimited_AllStates.txt
4,000000002215290,1998,24.4,24.3,NBI_1998_Delimited_AllStates.txt
4,000000002216290,1998,24.4,24.3,NBI_1998_Delimited_AllStates.txt
4,000000002218460,1998,27.2,27.0,NBI_1998_Delimited_AllStates.txt
4,000000002218630,1998,22.6,22.5,NBI_1998_Delimited_AllStates.txt
4,000000002218720,1998,25.4,25.2,NBI_1998_Delimited_AllStates.txt
4,000000002255040,1998,29.0,28.8,NBI_1998_Delimited_AllStates.txt
4,000000002256020,1998,25.4,25.2,NBI_1998_Delimited_AllStates.txt
4,000000003218770,1998,22.6,22.5,NBI_1998_Delimited_AllStates.txt
4,000000003330430,1998,25.4,25.2,NBI_1998_Delimited_AllStates.txt
4,000000003331390,2000,40.8,0.9,NBI_2000_Delimited_AllStates.txt
4,000000003357570,1998,24.4,24.3,NBI_1998_Delimited_AllStates.txt
4,000000003357620,1998,25.4,25.2,NBI_1998_Delimited_AllStates.txt
4,000000003359330,1998,24.4,24.3,NBI_1998_Delimited_AllStates.txt
4,087203045900040,2007,32.7,32.4,NBI_2007_Delimited_AllStates.txt
4,157015030802810,2007,22.7,22.5,NBI_2007_Delimited_AllStates.txt
4,157015042702830,1999,8.1,0.0,NBI_1999_Delimited_AllStates.txt
4,157015042702830,2007,8.2,8.1,NBI_2007_Delimited_AllStates.txt
4,157015046303060,2007,31.8,31.5,NBI_2007_Delimited_AllStates.txt
4,157015046702720,2007,39.9,39.6,NBI_2007_Delimited_AllStates.txt
4,157015049203040,2007,7.3,7.2,NBI_2007_Delimited_AllStates.txt
4,157015052202820,2007,6.4,6.3,NBI_2007_Delimited_AllStates.txt
4,200008001019710,2007,35.4,35.1,NBI_2007_Delimited_AllStates.txt
4,200198017020150,2007,32.7,32.4,NBI_2007_Delimited_AllStates.txt
4,006434,2007,20.5,6.8,NBI_2007_Delimited_AllStates.txt
4,030087,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,030088,2007,32.7,32.6,NBI_2007_Delimited_AllStates.txt
4,030091,2005,32.7,32.6,NBI_2005_Delimited_AllStates.txt
4,030092,2005,32.7,32.6,NBI_2005_Delimited_AllStates.txt
4,030093,2005,32.7,32.6,NBI_2005_Delimited_AllStates.txt
4,030094,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,030095,2007,32.7,32.6,NBI_2007_Delimited_AllStates.txt
4,030097,2007,32.7,32.6,NBI_2007_Delimited_AllStates.txt
4,030098,2006,32.7,32.6,NBI_2006_Delimited_AllStates.txt
4,030099,2006,32.7,32.6,NBI_2006_Delimited_AllStates.txt
4,030100,2005,32.7,32.6,NBI_2005_Delimited_AllStates.txt
4,030101,2007,32.7,32.6,NBI_2007_Delimited_AllStates.txt
4,030102,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,030103,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,030104,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,030105,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,030106,2000,32.7,32.6,NBI_2000_Delimited_AllStates.txt
4,030107,2009,32.7,32.6,NBI_2009_Delimited_AllStates.txt
4,090016,2002,22.6,18.0,NBI_2002_Delimited_AllStates.txt
4,090016,2006,22.7,22.6,NBI_2006_Delimited_AllStates.txt
4,104402,2001,27.9,27.0,NBI_2001_Delimited_AllStates.txt
4,150009,2006,20.9,20.8,NBI_2006_Delimited_AllStates.txt
4,150910,2007,32.7,32.6,NBI_2007_Delimited_AllStates.txt
4,160037,2005,35.9,32.6,NBI_2005_Delimited_AllStates.txt
4,160050,2003,32.7,32.6,NBI_2003_Delimited_AllStates.txt
4,160077,2005,36.0,32.6,NBI_2005_Delimited_AllStates.txt
4,270045,2016,32.7,32.6,NBI_2016_Delimited_AllStates.txt
4,270047,2016,32.7,32.6,NBI_2016_Delimited_AllStates.txt
4,270056,2016,32.7,32.6,NBI_2016_Delimited_AllStates.txt
4,270057,2016,32.7,32.6,NBI_2016_Delimited_AllStates.txt
4,300049,2022,29.4,29.0,NBI_2022_Delimited_AllStates.txt
4,300050,2000,29.4,29.0,NBI_2000_Delimited_AllStates.txt
4,300055,2016,29.4,29.0,NBI_2016_Delimited_AllStates.txt
4,320016,2006,32.7,32.6,NBI_2006_Delimited_AllStates.txt
4,550068,2018,29.4,29.0,NBI_2018_Delimited_AllStates.txt
4,720003,2022,32.7,32.6,NBI_2022_Delimited_AllStates.txt
