STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,rating_year,source_file,STATUS,CAT10,CAT23,CAT29,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
53,082518000000000,1,4,1,15665,0,03,067,0,'WOODARD BAY             ',,'WOODARD BAY ROAD  ','  .5 E FAS 1064          ',99.99,2.703,,,,47073600,122510000,11,3,02,02,07,1958,2,0,911,1993,5,8.5,0,0,0,1,1,1,1,4,0,0,0,A,1,5,2,01,0,00,3,0,7.6,6.7,18.3,0,0,7.3,8,99.99,N,0,N,0,0,7,7,6,7,N,3,37.8,3,23.4,6,N,N,5,7,7,31,1,70,996,24,N  ,N  ,N  ,,,,1693,169,2539,1997,,,          00016,,,0,,,,9171,1,1,0,0,15,0,,Y,5,1386,2009,,N,1/28/1998,B,Z ,,,,0,,,,,0,*,75.6,0,1997,NBI_1997_Delimited_AllStates.txt,,,,,,,,
33,020801620017000,1,3,1,00136,0,04,011,60580,'OTTER BROOK             ',,'NH136             ','0.7 MI GREEFIELD TL      ',99.99,7.065,0,,,42563977,071533739,13,3,01,01,07,1965,2,0,2000,1991,5,6.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,19,,,2,0,10,2.4,6.1,0,0,0,0,99.99,N,0,N,99.9,0,N,N,N,5,8,3,53.5,3,32.7,8,N,N,5,6,8,,,0,199,8 ,N00,N00,N00,,,,0,0,0,2000,,0,,0,N,2,,0,0,1999,N,N,N,N,4,0,,Y,8,4000,2011,,N,7/21/1999,B,Z ,5,,,0,,,,,0,*,95.8,0,1999,NBI_1999_Delimited_AllStates.txt,,,,,,,,
33,020801620017000,1,3,1,00136,0,04,011,60580,'OTTER BROOK             ',,'NH136             ','0.7 MI GREEFIELD TL      ',99.99,7.065,0,,,42563977,071533739,13,3,01,01,07,1965,2,0,2000,1991,5,6.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,19,,,2,0,10,2.4,6.1,0,0,0,0,99.99,N,0,N,99.9,0,N,N,N,5,8,3,53.5,3,32.7,8,N,N,5,6,8,,,0,199,8 ,N00,N00,N00,,,,0,0,0,2000,,0,,0,N,2,,0,0,1999,N,N,N,N,4,0,,Y,8,4000,2011,0,N,6/12/2000,B,Z ,5,,,0,,,,,0,*,95.8,0,2000,NBI_2000_Delimited_AllStates.txt,,,,,,,,
53,081816000000000,1,4,1,00250,0,06,075,0,'PINE CREEK              ',,'ROSALIA/0025      ','S OF ROSALIA LIMITS      ',99.99,0.394,,,,47131800,117221200,35,3,02,02,08,1930,2,0,400,1988,3,8.5,0,50,0,1,1,1,1,5,0,0,0,A,1,7,2,02,0,00,8,0,8.5,10.7,91.7,0,0,8.5,9.1,99.99,R,7.32,R,3.4,0,7,7,7,8,N,3,18.9,3,11.7,4,6,5,5,8,6,33,1,91.7,1199,24,N  ,N  ,N  ,,,,510,1,511,1997,,,,0,N,2,,0,,1999,1,6,0,0,25,0,,Y,8,400,2019,,N,11/14/2000,B,Z ,,,,0,,,,,0,,65.3,0,2000,NBI_2000_Delimited_AllStates.txt,,,,,,,,
72,         012242,1,1,1,00001,0,06,123,41681,'HONDA CREEK             ',,'PR 52 SOUTHBOUND  ','2 KM NORTH OF SALINAS    ',99.99,67.61,1,0000000052,0,17593600,066183000,1,2,01,01,01,1971,2,0,14450,1997,5,12.7,1,45,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,2,0,12.1,25.2,50,0,0,12.1,14,99.99,N,0,N,99.9,0,7,7,7,N,N,3,32.4,3,32.4,7,6,N,5,N,8,,,,699,24,N  ,N  ,N  ,,,,0,0,0,1999,,,,1,L,1,,1,0,1999,1,6,0,0,4,1,,Y,U,23520,2016,,N,5/16/2000,B,Z ,,,,0,,,,,0,,97.3,0,2000,NBI_2000_Delimited_AllStates.txt,,,,,,,,
12,         790033,1,3,1,00415,0,05,127,0,'DEEP CREEK              ',,'SR 415            ','SR 415 over Deep Creek   ',99.99,8.829,0,0079120000,,28535400,081080000,29,3,01,01,06,1957,2,0,8400,1998,4,9.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,,,6,0,13.1,6.1,36.6,0,0,13.1,14.1,99.99,N,0,N,0,0,6,6,6,7,N,4,53.9,4,32.7,6,5,N,5,8,9,38,1,36.6,500,24,N00,N00,N00,,,,132,0,168,1998,,0,,0,N,2,,0,0,2000,1,1,0,0,7,0,1,Y,8,15792,2022,0,N,11/13/2001,F,Z ,5,0AX0,4511003,0,14,14,,6,0,,87.4,0,2001,NBI_2001_Delimited_AllStates.txt,,,,,,,,
12,         790034,1,3,1,00415,0,05,127,0,'ALAMANA CANAL           ',,'SR 415            ','SR415-ALAMANA CANAL      ',99.99,11.495,0,0079120000,,28555400,081070600,29,3,01,01,06,1957,2,0,8400,1998,4,9.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,,,4,0,13.1,6.1,24.6,0,0,13.1,14,99.99,N,0,N,0,0,7,7,7,7,N,4,53.9,4,32.7,7,5,N,5,8,9,,,0,600,24,N00,N00,N00,,,,0,0,0,,,0,,0,N,2,,0,0,2000,1,1,0,0,7,0,1,Y,6,15792,2022,0,N,11/13/2001,F,Z ,5,33A0,2761027,0,14,14,,9,0,,87.4,0,2001,NBI_2001_Delimited_AllStates.txt,,,,,,,,
33,009300920012100,1,3,1,00010,0,04,005,29220,'ASHUELOT RIVER          ',,'NH 10             ','3.2 MI NORTH OF KEENE TL ',99.99,5.311,0,,,43023336,072160139,34,3,01,01,07,1935,2,0,2300,1994,2,8.5,0,45,0,1,1,1,1,2,0,0,0,A,5,5,3,07,,,1,0,8.8,24.4,30.2,0.3,0.3,8.8,10,99.99,N,0,N,99.9,0,9,8,8,7,N,3,87.1,3,51.7,8,4,N,5,8,8,33,1,30.2,1200,24,N  ,N  ,N  ,,,,0,0,0,,,0,,1,N,2,,0,0,2000,1,6,1,1,4,0,,Y,8,0,2011,0,N,11/13/2001,F,K*,5,Q100,0210001,0,12,12,,6,0,,85.7,0,2001,NBI_2001_Delimited_AllStates.txt,,,,,,,,
53,080901000000000,1,4,1,60960,0,01,073,0,'FISH TRAP CR            ',,'PANGBORN RD       ','00.1 W ASSINK RD.        ',99.99,0.241,,,,48584800,122243600,6,3,02,02,09,1954,2,0,300,1996,4,9.1,0,0,0,0,0,0,0,4,0,0,0,A,1,0,1,22,0,00,2,0,9,5.8,11.6,0,0,8.7,9.6,,N,0,N,0,0,7,7,8,8,N,3,48.6,3,28.8,7,*,N,5,8,8,,,0,400,24,N  ,N  ,N  ,,,,22,2,33,2001,,,,0,N,2,,0,,1998,2,9,0,0,15,0,,Y,U,500,,,N,6/15/2001,B,Z ,,,,0,,,,,0,*,94.7,0,2001,NBI_2001_Delimited_AllStates.txt,,,,,,,,
53,081816000000000,1,4,1,00250,0,06,075,0,'PINE CREEK              ',,'ROSALIA/0025      ','S OF ROSALIA LIMITS      ',99.99,0.394,,,,47131800,117221200,35,3,02,02,08,1930,2,0,400,1988,3,8.5,0,50,0,1,1,1,1,5,0,0,0,A,1,7,2,02,0,00,8,0,8.5,10.7,91.7,0,0,8.5,9.1,99.99,R,7.32,R,3.4,0,7,7,7,8,N,3,18.9,3,11.7,4,6,5,5,8,6,33,1,91.7,1199,24,N  ,N  ,N  ,,,,510,1,511,1997,,,,0,N,2,,0,,1999,1,6,0,0,25,0,,Y,8,400,2019,,N,11/14/2000,B,Z ,,,,0,,,,,0,,65.3,0,2001,NBI_2001_Delimited_AllStates.txt,,,,,,,,
